latitude,longitude,count
40.823,-73.923,2.0
40.823,-73.882,6.0
40.823,-73.956,9.0
40.823,-73.857,5.0
40.823,-73.927,2.0
40.823,-73.847,1.0
40.823,-73.88,1.0
40.823,-73.858,1.0
40.823,-73.869,1.0
40.823,-73.817,2.0
40.823,-73.828,1.0
40.823,-73.843,1.0
40.712,-73.891,36.0
40.712,-73.992,10.0
40.712,-73.994,6.0
40.712,-73.997,26.0
40.712,-73.961,3.0
40.712,-74.01,29.0
40.712,-73.962,12.0
40.712,-73.9,3.0
40.712,-73.94,11.0
40.712,-73.826,27.0
40.712,-73.99,44.0
40.712,-73.859,24.0
40.712,-73.895,1.0
40.712,-73.965,3.0
40.712,-73.92,2.0
40.712,-73.999,24.0
40.712,-73.783,4.0
40.712,-73.952,3.0
40.712,-73.741,2.0
40.712,-73.789,7.0
40.712,-73.78,2.0
40.712,-73.966,8.0
40.712,-73.775,3.0
40.712,-73.75,5.0
40.712,-73.768,9.0
40.712,-73.998,17.0
40.712,-73.946,2.0
40.712,-73.988,1.0
40.712,-73.953,7.0
40.712,-73.833,3.0
40.712,-73.778,6.0
40.712,-73.958,13.0
40.712,-73.967,6.0
40.712,-73.819,2.0
40.712,-73.941,23.0
40.712,-73.918,1.0
40.712,-73.963,9.0
40.712,-73.874,10.0
40.712,-74.008,27.0
40.712,-73.743,2.0
40.712,-74.0,11.0
40.712,-73.772,1.0
40.712,-73.944,9.0
40.712,-74.006,2.0
40.712,-73.767,5.0
40.712,-73.948,6.0
40.712,-73.879,2.0
40.712,-73.784,4.0
40.712,-73.897,5.0
40.712,-73.987,27.0
40.712,-73.763,1.0
40.712,-74.009,7.0
40.712,-73.886,1.0
40.712,-74.007,6.0
40.712,-73.766,10.0
40.712,-73.981,12.0
40.712,-73.945,9.0
40.712,-73.781,3.0
40.712,-73.755,4.0
40.712,-73.926,1.0
40.712,-73.964,7.0
40.712,-73.956,13.0
40.712,-73.943,13.0
40.712,-73.751,4.0
40.712,-73.806,4.0
40.712,-73.744,1.0
40.712,-73.936,2.0
40.712,-73.732,8.0
40.712,-73.773,5.0
40.712,-73.986,7.0
40.712,-73.876,5.0
40.712,-73.919,3.0
40.712,-73.803,3.0
40.712,-73.787,14.0
40.712,-73.818,3.0
40.712,-73.801,2.0
40.712,-73.906,4.0
40.712,-73.96,6.0
40.712,-73.894,3.0
40.712,-73.795,1.0
40.712,-73.828,4.0
40.712,-73.791,2.0
40.712,-73.957,6.0
40.712,-73.951,5.0
40.712,-73.954,3.0
40.712,-73.765,4.0
40.712,-73.817,1.0
40.712,-73.947,4.0
40.712,-73.849,2.0
40.712,-73.804,2.0
40.712,-73.794,1.0
40.712,-73.996,7.0
40.712,-73.771,3.0
40.712,-73.83,1.0
40.712,-73.839,1.0
40.712,-73.993,2.0
40.712,-73.73,2.0
40.712,-73.825,2.0
40.712,-73.788,5.0
40.712,-73.86,5.0
40.712,-73.79,3.0
40.712,-73.731,2.0
40.712,-73.745,1.0
40.712,-73.968,1.0
40.712,-73.738,2.0
40.712,-73.91,1.0
40.712,-73.909,1.0
40.712,-73.733,3.0
40.712,-73.792,6.0
40.712,-74.016,1.0
40.712,-73.858,1.0
40.712,-73.769,4.0
40.712,-73.736,1.0
40.712,-73.77,2.0
40.712,-73.907,2.0
40.712,-73.848,2.0
40.712,-73.878,2.0
40.712,-73.935,2.0
40.712,-73.95,1.0
40.712,-73.924,1.0
40.712,-73.871,2.0
40.712,-73.959,6.0
40.712,-73.888,3.0
40.712,-73.938,3.0
40.712,-73.808,1.0
40.712,-73.749,3.0
40.712,-73.777,2.0
40.712,-73.903,2.0
40.712,-73.814,3.0
40.712,-73.737,2.0
40.712,-73.793,2.0
40.712,-73.81,1.0
40.712,-73.796,6.0
40.712,-73.754,1.0
40.712,-73.917,2.0
40.712,-73.877,2.0
40.712,-74.001,3.0
40.712,-73.756,3.0
40.712,-73.757,2.0
40.712,-73.758,2.0
40.712,-73.978,3.0
40.712,-73.815,2.0
40.712,-73.883,1.0
40.712,-73.779,1.0
40.712,-73.782,1.0
40.712,-73.984,1.0
40.712,-73.896,1.0
40.712,-73.747,1.0
40.712,-73.836,1.0
40.712,-73.742,1.0
40.712,-73.875,1.0
40.712,-73.851,1.0
40.642,-73.951,5.0
40.642,-73.917,4.0
40.642,-73.947,10.0
40.642,-73.997,9.0
40.642,-74.005,4.0
40.642,-74.111,3.0
40.642,-74.076,76.0
40.642,-73.933,9.0
40.642,-74.018,8.0
40.642,-73.979,7.0
40.642,-74.079,24.0
40.642,-74.087,11.0
40.642,-73.957,9.0
40.642,-74.01,15.0
40.642,-73.985,6.0
40.642,-73.971,2.0
40.642,-73.928,5.0
40.642,-73.906,5.0
40.642,-74.017,15.0
40.642,-74.084,5.0
40.642,-73.932,5.0
40.642,-74.003,5.0
40.642,-73.948,14.0
40.642,-74.015,14.0
40.642,-73.992,4.0
40.642,-73.899,4.0
40.642,-74.075,17.0
40.642,-74.012,15.0
40.642,-73.887,4.0
40.642,-73.954,21.0
40.642,-73.97,5.0
40.642,-74.077,7.0
40.642,-73.934,9.0
40.642,-74.021,8.0
40.642,-73.969,2.0
40.642,-74.006,5.0
40.642,-73.952,14.0
40.642,-74.092,5.0
40.642,-73.938,9.0
40.642,-74.014,13.0
40.642,-73.902,4.0
40.642,-73.896,4.0
40.642,-73.983,1.0
40.642,-74.019,10.0
40.642,-74.004,4.0
40.642,-74.08,10.0
40.642,-73.89,5.0
40.642,-74.008,8.0
40.642,-73.949,26.0
40.642,-73.93,6.0
40.642,-73.912,1.0
40.642,-73.974,12.0
40.642,-74.113,4.0
40.642,-73.905,1.0
40.642,-73.893,5.0
40.642,-73.961,8.0
40.642,-73.944,2.0
40.642,-74.001,3.0
40.642,-73.975,5.0
40.642,-73.996,2.0
40.642,-73.943,5.0
40.642,-73.925,7.0
40.642,-74.115,2.0
40.642,-74.097,4.0
40.642,-73.982,5.0
40.642,-73.931,1.0
40.642,-73.903,2.0
40.642,-74.078,4.0
40.642,-73.964,6.0
40.642,-73.911,4.0
40.642,-74.088,2.0
40.642,-73.923,1.0
40.642,-73.981,5.0
40.642,-73.909,3.0
40.642,-73.929,6.0
40.642,-73.901,2.0
40.642,-73.95,8.0
40.642,-73.926,1.0
40.642,-73.976,3.0
40.642,-73.879,5.0
40.642,-73.935,1.0
40.642,-73.945,2.0
40.642,-73.984,1.0
40.642,-73.914,6.0
40.642,-73.955,2.0
40.642,-73.895,2.0
40.642,-73.937,5.0
40.642,-73.936,7.0
40.642,-73.892,6.0
40.642,-73.958,4.0
40.642,-73.968,3.0
40.642,-73.908,2.0
40.642,-73.91,2.0
40.642,-74.022,3.0
40.642,-73.913,3.0
40.642,-73.978,8.0
40.642,-73.897,1.0
40.642,-73.916,1.0
40.642,-73.972,3.0
40.642,-74.116,1.0
40.642,-73.98,1.0
40.642,-74.023,3.0
40.642,-73.96,8.0
40.642,-73.967,1.0
40.642,-73.991,3.0
40.642,-74.007,5.0
40.642,-73.99,2.0
40.642,-74.094,3.0
40.642,-73.999,3.0
40.642,-74.025,1.0
40.642,-73.988,1.0
40.642,-73.986,1.0
40.642,-73.939,3.0
40.642,-73.959,1.0
40.642,-74.013,1.0
40.642,-73.963,3.0
40.642,-74.095,2.0
40.642,-73.904,1.0
40.642,-74.11,1.0
40.642,-73.946,2.0
40.642,-73.927,1.0
40.642,-73.962,3.0
40.642,-73.884,1.0
40.642,-73.92,1.0
40.642,-74.081,3.0
40.839,-73.897,22.0
40.839,-73.904,9.0
40.839,-73.938,17.0
40.839,-73.903,5.0
40.839,-73.946,8.0
40.839,-73.901,28.0
40.839,-73.94,13.0
40.839,-73.916,21.0
40.839,-73.861,11.0
40.839,-73.915,34.0
40.839,-73.917,17.0
40.839,-73.844,16.0
40.839,-73.87,9.0
40.839,-73.927,29.0
40.839,-73.837,4.0
40.839,-73.919,7.0
40.839,-73.942,8.0
40.839,-73.926,7.0
40.839,-73.887,10.0
40.839,-73.817,1.0
40.839,-73.909,12.0
40.839,-73.941,21.0
40.839,-73.845,4.0
40.839,-73.906,8.0
40.839,-73.863,13.0
40.839,-73.847,9.0
40.839,-73.859,23.0
40.839,-73.867,16.0
40.839,-73.928,1.0
40.839,-73.869,2.0
40.839,-73.918,21.0
40.839,-73.854,10.0
40.839,-73.91,34.0
40.839,-73.836,5.0
40.839,-73.914,64.0
40.839,-73.866,8.0
40.839,-73.834,2.0
40.839,-73.868,3.0
40.839,-73.889,9.0
40.839,-73.842,1.0
40.839,-73.876,7.0
40.839,-73.865,9.0
40.839,-73.827,2.0
40.839,-73.881,7.0
40.839,-73.85,5.0
40.839,-73.922,2.0
40.839,-73.924,7.0
40.839,-73.936,5.0
40.839,-73.884,9.0
40.839,-73.852,2.0
40.839,-73.835,1.0
40.839,-73.937,4.0
40.839,-73.9,13.0
40.839,-73.853,3.0
40.839,-73.913,1.0
40.839,-73.944,9.0
40.839,-73.912,4.0
40.839,-73.945,3.0
40.839,-73.911,1.0
40.839,-73.899,1.0
40.839,-73.877,12.0
40.839,-73.875,1.0
40.839,-73.878,5.0
40.839,-73.939,11.0
40.839,-73.849,6.0
40.839,-73.825,1.0
40.839,-73.83,1.0
40.839,-73.905,2.0
40.839,-73.832,5.0
40.839,-73.846,10.0
40.839,-73.823,1.0
40.839,-73.885,2.0
40.839,-73.92,2.0
40.839,-73.783,3.0
40.839,-73.943,9.0
40.839,-73.864,5.0
40.839,-73.872,1.0
40.839,-73.882,1.0
40.839,-73.923,2.0
40.839,-73.851,1.0
40.839,-73.826,3.0
40.839,-73.848,4.0
40.839,-73.829,3.0
40.839,-73.86,2.0
40.839,-73.902,2.0
40.839,-73.883,2.0
40.839,-73.843,2.0
40.839,-73.871,1.0
40.839,-73.874,2.0
40.837,-73.923,15.0
40.837,-73.864,8.0
40.837,-73.942,5.0
40.837,-73.904,29.0
40.837,-73.908,12.0
40.837,-73.91,16.0
40.837,-73.86,9.0
40.837,-73.924,26.0
40.837,-73.916,50.0
40.837,-73.917,8.0
40.837,-73.865,11.0
40.837,-73.92,144.0
40.837,-73.886,81.0
40.837,-73.922,16.0
40.837,-73.944,21.0
40.837,-73.889,11.0
40.837,-73.918,7.0
40.837,-73.852,6.0
40.837,-73.938,13.0
40.837,-73.915,12.0
40.837,-73.89,6.0
40.837,-73.836,10.0
40.837,-73.914,6.0
40.837,-73.891,1.0
40.837,-73.846,15.0
40.837,-73.861,10.0
40.837,-73.853,6.0
40.837,-73.913,2.0
40.837,-73.929,19.0
40.837,-73.943,13.0
40.837,-73.862,8.0
40.837,-73.941,21.0
40.837,-73.919,19.0
40.837,-73.912,10.0
40.837,-73.858,13.0
40.837,-73.909,4.0
40.837,-73.847,14.0
40.837,-73.947,1.0
40.837,-73.888,20.0
40.837,-73.9,6.0
40.837,-73.907,43.0
40.837,-73.868,3.0
40.837,-73.863,11.0
40.837,-73.867,9.0
40.837,-73.826,1.0
40.837,-73.94,15.0
40.837,-73.946,11.0
40.837,-73.87,2.0
40.837,-73.902,5.0
40.837,-73.893,3.0
40.837,-73.871,5.0
40.837,-73.921,4.0
40.837,-73.926,1.0
40.837,-73.843,1.0
40.837,-73.887,13.0
40.837,-73.883,4.0
40.837,-73.855,2.0
40.837,-73.857,9.0
40.837,-73.939,16.0
40.837,-73.848,2.0
40.837,-73.872,12.0
40.837,-73.901,4.0
