latitude,longitude
40.686005736999995,-73.773531042
40.780920423000005,-73.95100241
40.745523637,-74.002040486
40.706527603000005,-73.791996756
40.596800942,-74.079098353
40.669193465999996,-73.806344919
40.805715716,-73.956326574
40.670884813,-73.928141789
40.887681129,-73.847050298
40.808180487,-73.956346631
40.598544578,-74.082031612
40.829706895,-73.88701142
40.775942287,-73.982259131
40.709034465,-73.813327653
40.806923748,-73.957268578
40.660335593,-73.935671743
40.692785234,-73.85512781899999
40.69969571,-73.98169156899999
40.597713616,-73.784798966
40.836412591,-73.829279586
40.836412591,-73.829279586
40.6576596,-73.960334016
40.84365423,-73.88295785
40.871127822,-73.876827822
40.582301992,-74.168936095
40.637125986,-74.016834913
40.87016298,-73.904229265
40.831775869,-73.908024592
40.752530799,-73.99322319
40.706286803000005,-74.011189718
40.840470176,-73.891174619
40.685152466,-73.842917625
40.735035624,-73.99123676800001
40.758375371999996,-73.867633267
40.863291106999995,-73.889806842
40.723776500999996,-73.989625588
40.851422014,-73.78864830399999
40.638984176,-74.171252305
40.770741681,-73.98737989899999
40.823544692,-73.83640160899999
40.772810529000004,-73.982191368
40.670437439000004,-73.92818192600001
40.55393525,-74.144124172
40.851293043000005,-73.852133047
40.674445268,-74.000542205
40.700545249,-73.893300037
40.731397037,-73.90014582
40.705464206,-73.755124555
40.834738425,-73.846958795
40.64010787,-74.006559295
40.748830502,-73.988477604
40.851213168,-73.935216052
40.674559378000005,-73.873272128
40.739583983,-74.002657374
40.569593176,-74.110564608
40.728315591,-73.98333255600001
40.781602803,-73.962856404
40.862188599,-73.890712482
40.655181335,-73.96113198
40.670304074,-73.782715463
40.652902087,-73.89402854
40.767177466,-73.917297876
40.782014587,-73.948737573
40.782014587,-73.948737573
40.757133258,-73.971908352
40.802824906,-73.908472753
40.703097273000004,-73.915725537
40.577087228,-73.99135108
40.67166874,-73.914521549
40.82833429,-73.911917378
40.746754576,-73.981588414
40.836016182,-73.8611293
40.636706102,-73.91143889899999
40.623637200000005,-74.02209451
40.585943345,-73.816101923
40.654221856999996,-73.913109519
40.684667274,-73.913553003
40.670515149,-73.929566108
40.754933481,-73.910390193
40.637615758,-74.025273454
40.716418145,-73.994691441
40.746028438,-73.992393794
40.733300559,-73.987181317
40.657739603,-73.86859703100001
40.708916801,-73.949652236
40.692068764,-73.954673725
40.886860911,-73.862683108
40.778412523,-73.98208877
40.837847997,-73.909060623
40.708634767,-73.94512576300001
40.732855777,-73.863884488
40.647606081999996,-74.012942045
40.672786795,-73.866472889
40.752071613000005,-73.970575055
40.636309901,-73.921463005
40.733160126,-73.953473094
40.831854352,-73.921362286
40.636534669,-73.921019568
40.624489101,-74.015963554
40.631766311999996,-73.887299705
40.860460111,-73.903798573
40.585001026,-74.093715769
40.776412361999995,-73.94825084600001
40.702707507,-73.942440119
40.726293088,-73.734760849
40.700455091,-73.90308456
40.832533731999995,-73.919464323
40.738780473,-73.805633863
40.750999048000004,-73.990624712
40.750021973,-73.991339463
40.647043335,-74.01351851
40.727117406,-73.899510022
40.620807621,-73.945745495
40.714384863,-73.757786395
40.589365271,-74.146274518
40.662767503000005,-73.907529526
40.823462946,-73.943383482
40.745676707,-73.987720275
40.846342946,-73.893138469
40.639454384000004,-74.026953233
40.720395421,-74.001044031
40.847625753,-73.903654483
40.671799266,-73.99699853899999
40.882452283,-73.899318638
40.808557676999996,-73.952354754
40.637497046,-74.012860816
40.683743649,-73.859311905
40.737121658,-73.795556633
40.611480273000005,-73.976691429
40.837914809000004,-73.860536266
40.561209281,-74.10899958
40.808749904,-73.952585806
40.870041281,-73.903112197
40.715495863,-73.993840194
40.696184932,-73.98035822199999
40.60109895,-73.99470420600001
40.828132636999996,-73.85173284
40.828132636999996,-73.85173284
40.648613551,-73.905257203
40.831509327,-73.863400811
