,station id,latitude,longitude,Arrivals_true,Departures_true,name,arrivals_characteristic,departures_characteristic
79,257,40.71939226,-74.00247214,90.61538462,92.48351648,Lispenard St & Broadway,401.1441957921565,408.0474646889038
80,540,40.74311555,-73.98215353,133.7985348,134.23809519999998,Lexington Ave & E 29 St,656.1658995733915,656.814751490236
81,3002,40.711512,-74.01575600000002,223.047619,223.88278390000002,South End Ave & Liberty St,448.9264943273343,451.06391099033476
82,517,40.751581,-73.97791,143.1025641,137.10989009999997,Pershing Square South,827.9868359879845,807.4634324653762
83,368,40.73038599,-74.00214988,228.5384615,233.47985350000002,Carmine St & 6 Ave,964.6541404653912,984.8788065725205
84,3331,40.8013434,-73.97114574,41.47252747,40.34432234,Riverside Dr & W 104 St,96.23469120308084,91.01652468692096
85,3462,40.75118387,-73.97138715,57.59340659,57.78021978,E 44 St & 2 Ave,368.38763628236853,369.4440969669039
86,3641,40.74286877,-73.98918629,203.7106227,203.9194139,Broadway & W 25 St,950.1257457430876,953.8745090583036
87,530,40.771522,-73.99054100000002,126.0512821,124.6996337,11 Ave & W 59 St,337.5146287463584,333.9678967126493
88,164,40.75323098,-73.97032517,80.00732601,79.93040293,E 47 St & 2 Ave,477.90049327112416,478.4384745932793
89,3231,40.767800799999996,-73.96592081,23.27472527,23.08058608,E 67 St & Park Ave,139.28640400309635,138.2283086246745
90,362,40.75172632,-73.98753523,64.80586081,64.05860806,Broadway & W 37 St,640.6776197829075,639.0049989807434
91,3142,40.761227399999996,-73.96094022,112.72161170000001,112.93772890000001,1 Ave & E 62 St,325.3247344088142,326.0071189101846
92,267,40.75097711,-73.98765428,111.8644689,110.11721609999998,Broadway & W 36 St,839.4563997069052,835.1111249720462
93,435,40.74173969,-73.99415556,296.3150183,300.72893769999996,W 21 St & 6 Ave,1075.0816173397084,1091.6694543104095
94,3320,40.79406661,-73.96286845,59.53479853,56.65934066,Central Park West & W 100 St,243.11563779180693,225.98492812861969
95,284,40.73901691,-74.00263761,50.31135531,51.35897436,Greenwich Ave & 8 Ave,570.4327951829874,581.1997728338301
96,423,40.76584941,-73.98690506,93.32234432,93.43956044,W 54 St & 9 Ave,485.26007345955713,484.630516704943
97,297,40.734232,-73.986923,148.53479850000005,148.4871795,E 15 St & 3 Ave,789.7511388785816,792.0218531886406
98,533,40.75299641,-73.98721619,104.4945055,103.5054945,Broadway & W 38 St,619.1592107110646,615.6804656546378
99,524,40.75527307,-73.98316936,119.6300366,120.34798529999999,W 43 St & 6 Ave,541.2619303411653,543.3540615143796
100,441,40.756014,-73.967416,87.28937729,87.3003663,E 52 St & 2 Ave,509.00582480431956,509.5780857281798
