station id,latitude,longitude,Arrivals_true,Departures_true,Arrivals,Departures,name
248,40.72185379,-74.00771779,33.67032967,33.94871795,205.2896888,200.4613918,Laight St & Hudson St
3461,40.71485151,-74.01122332,95.79120879,99.18315018,842.9796952,811.5290358,Murray St & Greenwich St
508,40.76341379,-73.99667444,109.4652015,110.1941392,296.6257037,294.6133205,W 46 St & 11 Ave
3372,40.7689738,-73.95482273,67.4029304,68.04761905,315.8332985,313.1240502,E 74 St & 1 Ave
302,40.72082834,-73.97793172,61.55677656,62.12820513,352.0471668,354.5647208,Avenue D & E 3 St
3360,40.7829391,-73.9786517,83.94871795,81.01831502,358.7034604,391.5857132,Amsterdam Ave & W 79 St
440,40.75255434,-73.97282625,85.90842491,86.23443223,313.5408724,315.1110241,E 45 St & 3 Ave
3263,40.72951496,-73.9907527,201.4212454,203.4761905,1011.011993,995.0298097,Cooper Square & Astor Pl
3434,40.79025417,-73.9771834,30.39194139,29.08791209,174.8715984,191.4552967,W 88 St & West End Ave
161,40.72917025,-73.99810231,91.85714286,93.89010989,587.353568,575.9405751,LaGuardia Pl & W 3 St
3431,40.746524,-73.977885,84.34432234,84.60805861,487.6328822,488.4068539,E 35 St & 3 Ave
470,40.74345335,-74.00004031,85.93040293,86.91208791,683.7581928,674.9766307,W 20 St & 8 Ave
3176,40.77452835,-73.98753759,47.13186813,45.71794872,222.9780716,227.3197298,W 64 St & West End Ave
3140,40.77140426,-73.9535166,106.2417582,107.8168498,381.6337027,376.8264718,1 Ave & E 78 St
496,40.73726186,-73.99238967,158.2344322,163.3589744,1007.88165,985.0105397,E 16 St & 5 Ave
3658,40.74353373,-74.00367558,75.51282051,76.42124542,730.1377994,717.9439019,W 18 St & 9 Ave
462,40.74691959,-74.00451887,179.2783883,181.5054945,812.2992461,793.8854434,W 22 St & 10 Ave
456,40.7597108,-73.97402311,102.4358974,108.2967033,285.5266309,283.7798821,E 53 St & Madison Ave
3437,40.79313481,-73.97700369,36.33699634,35.16483516,105.2311798,107.513562,Riverside Dr & W 91 St
537,40.74025878,-73.98409214,179.4249084,178.3919414,410.8618737,411.6597263,Lexington Ave & E 24 St
3235,40.75216528,-73.97992194,110.8388278,111.021978,281.0230661,280.7755371,E 41 St & Madison Ave
345,40.73649403,-73.99704374,115.1355311,115.5164835,759.480069,749.8507234,W 13 St & 6 Ave
363,40.70834698,-74.01713445,111.1941392,112.2454212,256.5743391,254.9846573,West Thames St
518,40.74780373,-73.9734419,147.4542125,147.1831502,403.1769078,403.1811196,E 39 St & 2 Ave
253,40.73543934,-73.99453948,72.37728938,73.00732601,474.0314558,469.0732685,W 13 St & 5 Ave
3178,40.78414472,-73.98362492,47.55677656,46.2014652,140.8199491,143.6713136,Riverside Dr & W 78 St
509,40.7454973,-74.00197139,169.989011,172.3956044,496.0009341,487.5216601,9 Ave & W 22 St
3307,40.7941654,-73.974124,42.51282051,42.21978022,130.9374662,133.9487179,West End Ave & W 94 St
402,40.7403432,-73.98955109,294.5018315,301.018315,1052.283189,1029.353712,Broadway & E 22 St
394,40.72521311,-73.97768752,106.3333333,100.4249084,493.073591,502.6440219,E 9 St & Avenue C
527,40.744023,-73.976056,80.23076923,80.05860806,436.859096,437.5063812,E 33 St & 2 Ave
3366,40.8021174,-73.96818053,36.52747253,30.28571429,139.2164303,161.5459728,West End Ave & W 107 St
3162,40.78339981,-73.98093133,60.24542125,54.85347985,168.9481364,180.4525922,W 78 St & Broadway
3244,40.73143724,-73.99490342,119.1794872,120.0549451,802.0829149,791.9277181,University Pl & E 8 St
360,40.70717936,-74.00887308,57.93040293,57.91208791,549.9160155,547.3438264,William St & Pine St
3163,40.7734066,-73.97782542,154.3772894,139.4322344,342.3370036,395.1469558,Central Park West & W 68 St
3547,40.8143256,-73.9590255,37.13553114,38.91575092,91.87035753,89.10178742,Broadway & Moylan Pl
303,40.72362738,-73.99949601,101.2600733,103.2820513,570.0489272,560.892183,Mercer St & Spring St
223,40.73781509,-73.99994661,101.2197802,102.3919414,394.4375963,391.8340707,W 13 St & 7 Ave
167,40.7489006,-73.97604882,119.7032967,119.4945055,584.5943982,589.9191023,E 39 St & 3 Ave
